,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
313,N/A,N/A,pnr,N/A,N/A,N/A,N/A,N/A,56.32,N/A,N/A,N/A,11.58,15.06,6.57,1.35,17.27,165910000.0,N/A,N/A,N/A,N/A,N/A,2890000000.0,1050000000.0,1.35,N/A,1.98,36.90,10.80,90600000.0,0.55,1100000000.0,1.34,11.75,522299999.99999994,1.35,0.25,90.89,N/A,1.64,1.38,2190000.0,N/A
314,N/A,N/A,pnw,N/A,N/A,N/A,N/A,N/A,119.55,N/A,N/A,N/A,17.37,21.93,2.53,0.27,30.67,112560000.0,N/A,N/A,N/A,N/A,N/A,3450000000.0,1490000000.0,0.27,N/A,5.31,34.30,6.90,6760000.0,0.06,6710000000.0,0.77,48.77,979820000.0,0.27,0.43,87.19,N/A,2.15,2.39,2500000.0,N/A
315,N/A,N/A,prgo,N/A,N/A,N/A,N/A,N/A,72.48,N/A,N/A,N/A,4.73,9.89,2.66,1.16,37.27,136480000.0,N/A,N/A,N/A,N/A,N/A,5070000000.0,1770000000.0,1.16,N/A,1.75,573.30,6.10,1460000000.0,10.7,4280000000.0000005,2.05,43.30,692200000.0,1.16,0.41,86.44,N/A,4.84,4.33,3890000.0,N/A
316,N/A,N/A,pru,N/A,N/A,N/A,N/A,N/A,54.77,N/A,N/A,N/A,0.22,0.55,0.02,1.70,149.88,0.20,N/A,N/A,N/A,N/A,N/A,59810000000.0,18400000000.0,1.70,N/A,0.43,37730000000.0,21.30,37730000000.0,95.52,36420000000.0,0.66,166.99,24780000000.0,1.70,0.20,67.48,N/A,3.14,1.97,10340000.0,N/A
317,N/A,N/A,psa,N/A,N/A,N/A,N/A,N/A,25.86,N/A,N/A,N/A,49.72,50.95,7.99,0.16,16.90,174800000.0,N/A,N/A,N/A,N/A,N/A,2950000000.0,2120000000.0,0.16,N/A,7.00,14.90,0.40,1270000000.0,7.26,2460000000.0,3.27,27.84,2049999999.9999998,0.16,13.27,80.70,N/A,5.82,3.50,3860000.0,N/A
318,N/A,N/A,psx,N/A,N/A,N/A,N/A,N/A,62.01,N/A,N/A,N/A,1.35,1.99,1.95,1.51,198.69,436700000.0,N/A,N/A,N/A,N/A,N/A,88130000000.0,11760000000.0,1.51,N/A,2.70,1890000000.0,60.80,1890000000.0,4.33,14450000000.0,1.25,47.44,4340000000.0,1.51,0.35,71.91,N/A,1.91,1.33,5600000.0,N/A
319,N/A,N/A,pwr,N/A,N/A,N/A,N/A,N/A,42.62,N/A,N/A,N/A,3.13,4.88,4.44,1.21,81.49,138020000.0,N/A,N/A,N/A,N/A,N/A,11740000000.0,1600000000.0,1.21,N/A,2.51,170.40,11.70,530669999.99999994,3.85,1670000000.0,1.74,28.42,1440000000.0,1.21,0.92,100.96,N/A,4.25,4.01,5090000.0,N/A
320,N/A,N/A,pxd,N/A,N/A,N/A,N/A,N/A,20.67,N/A,N/A,N/A,5.18,12.80,3.64,1.79,49.56,164280000.0,N/A,N/A,N/A,N/A,N/A,8199999999.999999,4030000000.0000005,1.79,N/A,2.54,1.61,52.00,1.61,1.61,2430000000.0,0.75,71.46,2880000000.0,1.79,0.93,93.58,N/A,2.7,2.32,4059999.9999999995,N/A
321,N/A,N/A,qcom,N/A,N/A,N/A,N/A,N/A,496.88,N/A,N/A,N/A,13.72,17.43,6.56,1.39,17.36,1130000000.0,N/A,N/A,N/A,N/A,N/A,17.36,15670000000.0,1.39,N/A,2.36,60.70,49.20,10600000000.0,9.4,16430000000.0,1.97,2.93,5300000000.0,1.39,0.12,79.91,N/A,1.5,1.46,17870000.0,N/A
322,N/A,N/A,qdel,N/A,N/A,N/A,N/A,N/A,17.88,N/A,N/A,N/A,23.61,31.01,13.96,0.99,15.62,41950000.0,N/A,N/A,N/A,N/A,N/A,655080000.0,320810000.0,0.99,N/A,3.55,226.90,86.40,72590000.0,1.73,109400000.0,1.62,14.58,181230000.0,0.99,11.89,91.59,N/A,2.31,7.15,2300000.0,N/A
